Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2003,1159454,1159627,1165781,200301,88,36,57.677,-162.13429,57.65147,-162.1339,10,,,,,,,,,0,Y,Good performance,45,47,21720,Pacific cod,Gadus macrocephalus,59.34,208,,,10-Oct-18
EBS_SHELF,2003,1159454,1159628,1160539,200301,88,37,57.3452,-162.1528,57.32008,-162.1629,10,,,,,,,,,0,Y,Good performance,49,51,21720,Pacific cod,Gadus macrocephalus,39.692,33,,,10-Oct-18
EBS_SHELF,2003,1159454,1159630,1160579,200301,88,39,56.68445,-162.1868,56.67201,-162.1913,31,,,,,,,,,0,Y,Good performance,68,70,21720,Pacific cod,Gadus macrocephalus,18,14,,,10-Oct-18
EBS_SHELF,2004,1195616,1195904,1206241,200401,89,120,58.6573,-168.49831,58.68332,-168.49609,20,,,,,,,,,0,Y,Good performance,51,53,21720,Pacific cod,Gadus macrocephalus,41.072,54,,,10-Oct-18
EBS_SHELF,2004,1195616,1195911,1206469,200401,89,127,60.0118,-169.9512,59.98576,-169.9433,41,,,,,,,,,0,Y,Good performance,52,54,21720,Pacific cod,Gadus macrocephalus,37.108,28,,,10-Oct-18
EBS_SHELF,2004,1195616,1195914,1206558,200401,89,130,59.01217,-169.8371,58.98626,-169.8474,41,,,,,,,,,0,Y,Good performance,61,63,21720,Pacific cod,Gadus macrocephalus,72.29,26,,,10-Oct-18
EBS_SHELF,2004,1195616,1195918,1206705,200401,89,134,57.65195,-169.65311,57.67793,-169.6537,42,,,,,,,,,0,Y,Good performance,68,70,21720,Pacific cod,Gadus macrocephalus,139.71,71,,,10-Oct-18
EBS_SHELF,2004,1195616,1195922,1205668,200401,89,103,56.80722,-168.60651,56.83107,-168.6234,32,,,,,,,,,0,Y,Good performance,95,97,21720,Pacific cod,Gadus macrocephalus,21.98,8,,,10-Oct-18
EBS_SHELF,2004,1195616,1195936,1206899,200401,89,139,58.98411,-171.13319,59.01124,-171.13789,41,,,,,,,,,0,Y,Good performance,75,77,21720,Pacific cod,Gadus macrocephalus,95.6,44,,,10-Oct-18
EBS_SHELF,2004,1195615,1195682,1199176,200401,88,116,56.8162,-170.4753,56.84089,-170.48531,42,,,,,,,,,0,Y,Good performance,99,101,21720,Pacific cod,Gadus macrocephalus,5.3,1,,,10-Oct-18
